questions,variables,variables2,variables3
Are you self-employed?,self_employed,Are you self-employed?,Self employed
How many employees does your company or organization have?,num_employees,How many employees?,Number of employees
Is your employer primarily a tech company/organization?,tech_org,Is employer primarily a tech company?,Tech organization
Does your employer provide mental health benefits as part of healthcare coverage?,mental_health_benefits_healthcare,Are mental health benefits provided as part of healthcare?,Mental health benefits healthcare
Does your employer offer resources to learn more about mental health concerns and options for seeking help?,mental_health_resources,Do employer provide resources related to mental health concerns?,Mental health resources
"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",mental_health_leave,What reason would you provide for a leave for mental health issue? ,Mental health leave
Do you think that discussing a mental health disorder with your employer would have negative consequences?,mental_disorder_discuss,Does discussing mental health issues have negative consequence?,Mental disorder discussion
Do you think that discussing a physical health issue with your employer would have negative consequences?,health_disorder_discuss,Does discussing physical health issues have negative consequence?,Physical health issues discussion
Would you feel comfortable discussing a mental health disorder with your coworkers?,discuss_coworker,Feel comfortable discussing mental health issues with co-worker?,Discuss with coworker
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,discuss_supervisor,Feel comfortable discussing mental health issues with direct supervisor?,Discuss with  supervisor
Do you know local or online resources to seek help for a mental health disorder?,online_resources,Aware of local/online resources to seek help for mental health issue?,Online resources
Do you believe your productivity is ever affected by a mental health issue?,productivity,Is the productivity affected by mental health issue?,Productivity impact
"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",productivity_percent,What percentage of time is affected by mental health issue?,Productivity impact percent
Do you currently have a mental health disorder?,have_mental_helth_disorder,Do you currently have a mental health disorder?,Have mental health disorder
"If yes, what condition(s) have you been diagnosed with?",mental_health_diagnosis,What condition(s) of mental health issue have you been diagnosed with?,Mental health diagnosis
Have you ever sought treatment for a mental health issue from a mental health professional?,treatment,Have you sought help from professional for mental health issue?,Mental health issue treatment
"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",work_interfere_treated,Do mental health issue interferes with work when being treated?,Work interference when treated
"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",work_interfere_not_treated,Do mental health issue interferes with work when not being treated?,Work interfere when not treated
What is your age?,age,What is your age?,Age
What is your gender?,gender,What is your gender?,Gender
What country do you live in?,country,What country do you live in?,Country
Do you work remotely?,is_remote,Do you work remotely?,Is remote
Is your primary role within your company related to tech/IT?,tech_role,Is your primary role within your company related to tech/IT?,Tech role
Do you know the options for mental health care available under your employer-provided coverage?,mental_health_benefits_employer,Aware of mental health options care under employer-provided coverage?  ,Employer mental health benefits
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",formal_discuss,Has your employer ever formally discussed mental health?,Formal discuss with employer
Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,anonymity,Is anonymity by employer protected for treatment of mental health issues?,Anonymity during treatment
Do you feel that your employer takes mental health as seriously as physical health?,mental_vs_physical,Do employer treat mental health and physical health equally?,Mental vs physical
Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?,medical_coverage,Do you have private/state medical coverage for mental health issues?,State/Private medical coverage
Do you feel that being identified as a person with a mental health issue would hurt your career?,career_effect,Does Identified as having mental health issue would hurt career?,Impact on Career
Do you have a family history of mental illness?,family_history,Do you have a family history of mental illness?,Family history of illness
