Are you self-employed?,How many employees?,Is employer primarily a tech company?,Are mental health benefits provided as part of healthcare?,Do employer provide resources related to mental health concerns?,What reason would you provide for asking a leave for mental health issue? ,Does discussion with employer about mental health issues have negative consequence?,Does discussion with employer about physical health issues have negative consequence?,Feel comfortable discussing mental health issues with co-worker?,Feel comfortable discussing mental health issues with direct supervisor?,Aware of local/online resources to seek help for mental health issue?,Is the productivity affected by mental health issue?,What percentage of time is affected by mental health issue?,Do you currently have a mental health disorder?,What condition(s) of mental health issue have you been diagnosed with?,Have you sought help from professional for mental health issue?,Do you feel mental health issue interferes with work when being treated?,Do you feel mental health issue interferes with work when not being treated?,What is your age?,What is your gender?,What country do you live in?,Do you work remotely?,Is your primary role within your company related to tech/IT?,Do you know options for mental health care under employer-provided coverage?  ,Has your employer ever formally discussed mental health?,Is anonymity protected for treatment of mental health issues under employer benefits?,Do employer treat mental health and physical health equally?,Do you have private/state medical coverage for treatment of mental health issues?,Does being identified as a person with mental health issue would hurt your career?,Do you have a family history of mental illness?
0,26-100,1.0,Not eligible for coverage,No,Very easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom,Sometimes,,,No,I don't know,I don't know,,Maybe,No
0,6-25,1.0,No,Yes,Somewhat easy,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,29,Male,United States of America,Never,,Yes,Yes,Yes,Yes,,"No, I don't think it would",Yes
0,6-25,1.0,No,No,Neither easy nor difficult,Maybe,No,Maybe,Maybe,,,,No,,1,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Always,,,No,I don't know,I don't know,,Maybe,No
1,,,,,,,,,,"Yes, I know several",Yes,1-25%,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,43,Male,United Kingdom,Sometimes,,,,,,1.0,"Yes, I think it would",No
0,6-25,0.0,Yes,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",1,Sometimes,Sometimes,43,Female,United States of America,Sometimes,1.0,Yes,No,No,No,,"Yes, I think it would",Yes
0,More than 1000,1.0,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes|Substance Use Disorder",1,Not applicable to me,Often,42,Male,United Kingdom,Sometimes,,I am not sure,No,Yes,No,,"Yes, I think it would",No
0,26-100,1.0,I don't know,No,Somewhat easy,No,No,Maybe,Yes,,,,No,,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes,,No,No,I don't know,Yes,,"Yes, I think it would",No
0,More than 1000,1.0,Yes,Yes,Very easy,No,No,Maybe,Yes,,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Substance Use Disorder",1,Sometimes,Often,37,Female,United States of America,Always,,Yes,No,Yes,I don't know,,Maybe,Yes
0,26-100,0.0,I don't know,No,Very difficult,Yes,Yes,Yes,Maybe,,,,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,44,Female,United States of America,Sometimes,1.0,No,No,I don't know,No,,Maybe,Yes
1,,,,,,,,,,I know some,Yes,1-25%,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,30,Male,United States of America,Always,,,,,,1.0,Maybe,Yes
